time_s,packet_hex,raw_le24
0.204324,02 00 00 00 80 AA,0
0.284774,02 BE 87 02 80 AA,165822
0.304609,02 ED 12 0E 80 AA,922349
0.324411,02 8D 4C 49 80 AA,4803725
0.344159,02 46 5D 70 80 AA,7363910
0.363910,02 A9 E5 04 80 AA,320937
0.383739,02 C4 BC 48 80 AA,4766916
0.403474,02 49 83 57 80 AA,5735241
0.423212,02 88 DA 64 80 AA,6609544
0.442989,02 B8 02 1F 80 AA,2032312
0.462791,02 21 27 D0 80 AA,13641505
0.482628,02 3F 31 41 80 AA,4272447
0.502438,02 DB 69 07 80 AA,485851
0.522304,02 A4 88 26 80 AA,2525348
0.542091,02 41 2C A5 80 AA,10824769
0.561854,02 04 09 33 80 AA,3344644
0.581650,02 54 43 05 80 AA,344916
0.601493,02 4F 39 00 80 AA,14671
0.621344,02 BB 6A 18 80 AA,1600187
0.641192,02 5E 51 50 80 AA,5263710
0.660980,02 19 34 D6 80 AA,14038041
0.680978,02 65 A1 11 80 AA,1155429
0.701002,02 13 5B 13 80 AA,1268499
0.720986,02 4E 4B 0F 80 AA,1002318
0.740912,02 19 94 0B 80 AA,758809
0.760758,02 47 B5 08 80 AA,570695
0.780645,02 7D 8B 06 80 AA,428925
0.800481,02 D1 EB 04 80 AA,322513
0.820272,02 07 B4 03 80 AA,242695
0.839981,02 30 CA 02 80 AA,182832
0.859700,02 D1 1A 02 80 AA,137937
0.879384,02 4A 97 01 80 AA,104266
0.899092,02 A6 34 01 80 AA,79014
0.918758,02 AB EA 00 80 AA,60075
0.938500,02 2F B3 00 80 AA,45871
0.958247,02 92 89 00 80 AA,35218
0.978073,02 5C 6A 00 80 AA,27228
0.997779,02 F3 52 00 80 AA,21235
1.017426,02 63 41 00 80 AA,16739
1.037110,02 36 34 00 80 AA,13366
1.056854,02 54 2A 00 80 AA,10836
1.076799,02 EB 22 00 80 AA,8939
1.096659,02 5C 1D 00 80 AA,7516
1.116473,02 31 19 00 80 AA,6449
1.136357,02 11 16 00 80 AA,5649
1.156273,02 B9 13 00 80 AA,5049
1.176049,02 F8 11 00 80 AA,4600
1.195747,02 A7 10 00 80 AA,4263
1.215469,02 AB 0F 00 80 AA,4011
1.235176,02 EE 0E 00 80 AA,3822
1.254864,02 61 0E 00 80 AA,3681
1.274588,02 F7 0D 00 80 AA,3575
1.294286,02 A8 0D 00 80 AA,3496
1.314035,02 6D 0D 00 80 AA,3437
1.333790,02 40 0D 00 80 AA,3392
1.353652,02 1E 0D 00 80 AA,3358
1.373462,02 05 0D 00 80 AA,3333
1.393176,02 F2 0C 00 80 AA,3314
1.412880,02 E3 0C 00 80 AA,3299
1.432684,02 D8 0C 00 80 AA,3288
1.452630,02 CF 0C 00 80 AA,3279
1.472381,02 C8 0C 00 80 AA,3272
1.492078,02 C3 0C 00 80 AA,3267
1.511790,02 BF 0C 00 80 AA,3263
1.531474,02 BC 0C 00 80 AA,3260
1.551190,02 BA 0C 00 80 AA,3258
1.570956,02 B8 0C 00 80 AA,3256
1.590713,02 B7 0C 00 80 AA,3255
1.610539,02 B6 0C 00 80 AA,3254
1.630379,02 B5 0C 00 80 AA,3253
1.650178,02 B4 0C 00 80 AA,3252
1.670027,02 B3 0C 00 80 AA,3251
1.689914,02 B1 0C 00 80 AA,3249
1.709838,02 AF 0C 00 80 AA,3247
1.729756,02 AD 0C 00 80 AA,3245
1.749711,02 AA 0C 00 80 AA,3242
1.769642,02 A7 0C 00 80 AA,3239
1.789551,02 A4 0C 00 80 AA,3236
1.809533,02 A0 0C 00 80 AA,3232
1.829561,02 9C 0C 00 80 AA,3228
1.849601,02 98 0C 00 80 AA,3224
1.869295,02 95 0C 00 80 AA,3221
1.888976,02 92 0C 00 80 AA,3218
1.908683,02 8F 0C 00 80 AA,3215
1.928408,02 8C 0C 00 80 AA,3212
1.948149,02 8A 0C 00 80 AA,3210
1.967948,02 88 0C 00 80 AA,3208
1.987729,02 86 0C 00 80 AA,3206
