time_s,packet_hex,raw_le24
0.003426,02 62 0C 00 80 AA,3170
0.023064,02 62 0C 00 80 AA,3170
0.042762,02 62 0C 00 80 AA,3170
0.062707,02 62 0C 00 80 AA,3170
0.082582,02 63 0C 00 80 AA,3171
0.102362,02 63 0C 00 80 AA,3171
0.122117,02 64 0C 00 80 AA,3172
0.141827,02 64 0C 00 80 AA,3172
0.161656,02 65 0C 00 80 AA,3173
0.181419,02 66 0C 00 80 AA,3174
0.201125,02 67 0C 00 80 AA,3175
0.220855,02 68 0C 00 80 AA,3176
0.240643,02 68 0C 00 80 AA,3176
0.260369,02 68 0C 00 80 AA,3176
0.280073,02 68 0C 00 80 AA,3176
0.299725,02 68 0C 00 80 AA,3176
0.319586,02 68 0C 00 80 AA,3176
0.339464,02 68 0C 00 80 AA,3176
0.359361,02 68 0C 00 80 AA,3176
0.379269,02 68 0C 00 80 AA,3176
0.399181,02 67 0C 00 80 AA,3175
0.419016,02 66 0C 00 80 AA,3174
0.438989,02 65 0C 00 80 AA,3173
0.458662,02 64 0C 00 80 AA,3172
0.478355,02 63 0C 00 80 AA,3171
0.498057,02 62 0C 00 80 AA,3170
0.517744,02 61 0C 00 80 AA,3169
0.537439,02 61 0C 00 80 AA,3169
0.557125,02 61 0C 00 80 AA,3169
0.576866,02 61 0C 00 80 AA,3169
0.596693,02 61 0C 00 80 AA,3169
0.616494,02 61 0C 00 80 AA,3169
0.636281,02 60 0C 00 80 AA,3168
0.656103,02 5F 0C 00 80 AA,3167
0.675917,02 5E 0C 00 80 AA,3166
0.695817,02 5C 0C 00 80 AA,3164
0.715779,02 5A 0C 00 80 AA,3162
0.735724,02 58 0C 00 80 AA,3160
0.755647,02 56 0C 00 80 AA,3158
0.775493,02 54 0C 00 80 AA,3156
0.795401,02 51 0C 00 80 AA,3153
0.815386,02 4F 0C 00 80 AA,3151
0.835404,02 4D 0C 00 80 AA,3149
0.855071,02 4B 0C 00 80 AA,3147
0.874727,02 49 0C 00 80 AA,3145
0.894445,02 47 0C 00 80 AA,3143
0.914149,02 46 0C 00 80 AA,3142
0.933829,02 45 0C 00 80 AA,3141
0.953581,02 44 0C 00 80 AA,3140
0.973393,02 43 0C 00 80 AA,3139
0.993155,02 42 0C 00 80 AA,3138
1.012846,02 42 0C 00 80 AA,3138
1.032562,02 41 0C 00 80 AA,3137
1.052308,02 41 0C 00 80 AA,3137
1.072150,02 40 0C 00 80 AA,3136
1.092075,02 3F 0C 00 80 AA,3135
1.111999,02 3E 0C 00 80 AA,3134
1.131681,02 3D 0C 00 80 AA,3133
1.151377,02 3C 0C 00 80 AA,3132
1.171137,02 3B 0C 00 80 AA,3131
1.191003,02 3A 0C 00 80 AA,3130
1.211029,02 39 0C 00 80 AA,3129
1.231050,02 38 0C 00 80 AA,3128
1.251076,02 37 0C 00 80 AA,3127
1.271097,02 36 0C 00 80 AA,3126
1.291074,02 36 0C 00 80 AA,3126
1.310825,02 36 0C 00 80 AA,3126
1.330546,02 36 0C 00 80 AA,3126
1.350278,02 36 0C 00 80 AA,3126
1.370168,02 36 0C 00 80 AA,3126
1.390062,02 36 0C 00 80 AA,3126
1.409928,02 36 0C 00 80 AA,3126
1.429613,02 36 0C 00 80 AA,3126
1.449417,02 36 0C 00 80 AA,3126
1.469255,02 36 0C 00 80 AA,3126
1.489036,02 36 0C 00 80 AA,3126
1.508831,02 36 0C 00 80 AA,3126
1.528601,02 36 0C 00 80 AA,3126
1.548321,02 36 0C 00 80 AA,3126
1.568136,02 36 0C 00 80 AA,3126
1.587810,02 36 0C 00 80 AA,3126
1.607492,02 36 0C 00 80 AA,3126
1.627147,02 36 0C 00 80 AA,3126
1.647193,02 36 0C 00 80 AA,3126
1.667167,02 36 0C 00 80 AA,3126
1.687073,02 36 0C 00 80 AA,3126
1.707025,02 36 0C 00 80 AA,3126
1.726956,02 36 0C 00 80 AA,3126
1.746912,02 37 0C 00 80 AA,3127
1.766823,02 38 0C 00 80 AA,3128
1.786624,02 3A 0C 00 80 AA,3130
1.806340,02 3C 0C 00 80 AA,3132
1.826118,02 3E 0C 00 80 AA,3134
1.845905,02 40 0C 00 80 AA,3136
1.865727,02 42 0C 00 80 AA,3138
1.885478,02 44 0C 00 80 AA,3140
1.905188,02 46 0C 00 80 AA,3142
1.924945,02 48 0C 00 80 AA,3144
1.944611,02 4A 0C 00 80 AA,3146
1.964303,02 4B 0C 00 80 AA,3147
1.984000,02 4C 0C 00 80 AA,3148
2.003718,02 4D 0C 00 80 AA,3149
2.023467,02 4E 0C 00 80 AA,3150
2.043437,02 4F 0C 00 80 AA,3151
2.063387,02 50 0C 00 80 AA,3152
2.083353,02 51 0C 00 80 AA,3153
2.103326,02 52 0C 00 80 AA,3154
2.123211,02 53 0C 00 80 AA,3155
2.143069,02 55 0C 00 80 AA,3157
2.162786,02 56 0C 00 80 AA,3158
2.182568,02 58 0C 00 80 AA,3160
2.202390,02 5A 0C 00 80 AA,3162
2.222297,02 5C 0C 00 80 AA,3164
2.242077,02 5E 0C 00 80 AA,3166
2.261791,02 60 0C 00 80 AA,3168
2.281541,02 62 0C 00 80 AA,3170
2.301240,02 63 0C 00 80 AA,3171
2.320949,02 64 0C 00 80 AA,3172
2.340655,02 65 0C 00 80 AA,3173
2.360340,02 66 0C 00 80 AA,3174
2.380100,02 67 0C 00 80 AA,3175
2.399978,02 67 0C 00 80 AA,3175
2.419892,02 67 0C 00 80 AA,3175
2.439745,02 67 0C 00 80 AA,3175
2.459706,02 67 0C 00 80 AA,3175
2.479611,02 67 0C 00 80 AA,3175
2.499394,02 67 0C 00 80 AA,3175
2.519084,02 67 0C 00 80 AA,3175
2.538798,02 67 0C 00 80 AA,3175
2.558478,02 67 0C 00 80 AA,3175
2.578145,02 67 0C 00 80 AA,3175
2.597833,02 67 0C 00 80 AA,3175
2.617622,02 67 0C 00 80 AA,3175
2.637431,02 67 0C 00 80 AA,3175
2.657255,02 67 0C 00 80 AA,3175
2.677110,02 67 0C 00 80 AA,3175
2.696904,02 67 0C 00 80 AA,3175
2.716652,02 67 0C 00 80 AA,3175
2.736573,02 67 0C 00 80 AA,3175
2.756491,02 66 0C 00 80 AA,3174
2.776443,02 65 0C 00 80 AA,3173
2.796402,02 64 0C 00 80 AA,3172
2.816343,02 63 0C 00 80 AA,3171
2.836152,02 62 0C 00 80 AA,3170
2.855800,02 61 0C 00 80 AA,3169
2.875489,02 60 0C 00 80 AA,3168
2.895211,02 5F 0C 00 80 AA,3167
2.914939,02 5E 0C 00 80 AA,3166
2.934671,02 5D 0C 00 80 AA,3165
2.954366,02 5C 0C 00 80 AA,3164
2.974123,02 5B 0C 00 80 AA,3163
2.993962,02 5A 0C 00 80 AA,3162
3.013834,02 59 0C 00 80 AA,3161
3.033693,02 58 0C 00 80 AA,3160
3.053546,02 57 0C 00 80 AA,3159
3.073315,02 55 0C 00 80 AA,3157
3.093173,02 53 0C 00 80 AA,3155
3.113098,02 51 0C 00 80 AA,3153
3.133091,02 4F 0C 00 80 AA,3151
3.153075,02 4D 0C 00 80 AA,3149
3.173035,02 4B 0C 00 80 AA,3147
3.192953,02 49 0C 00 80 AA,3145
3.212842,02 48 0C 00 80 AA,3144
3.232514,02 47 0C 00 80 AA,3143
3.252181,02 46 0C 00 80 AA,3142
3.271892,02 45 0C 00 80 AA,3141
3.291585,02 44 0C 00 80 AA,3140
3.311226,02 43 0C 00 80 AA,3139
3.330925,02 42 0C 00 80 AA,3138
3.350612,02 41 0C 00 80 AA,3137
3.370391,02 41 0C 00 80 AA,3137
3.390252,02 41 0C 00 80 AA,3137
3.410095,02 40 0C 00 80 AA,3136
3.429807,02 40 0C 00 80 AA,3136
3.449520,02 3F 0C 00 80 AA,3135
3.469253,02 3F 0C 00 80 AA,3135
3.489048,02 3E 0C 00 80 AA,3134
3.508968,02 3D 0C 00 80 AA,3133
3.528940,02 3C 0C 00 80 AA,3132
3.548618,02 3B 0C 00 80 AA,3131
3.568303,02 3A 0C 00 80 AA,3130
3.588049,02 39 0C 00 80 AA,3129
3.607922,02 38 0C 00 80 AA,3128
3.627623,02 38 0C 00 80 AA,3128
3.647333,02 37 0C 00 80 AA,3127
3.667305,02 37 0C 00 80 AA,3127
3.687282,02 37 0C 00 80 AA,3127
3.707219,02 37 0C 00 80 AA,3127
3.726974,02 37 0C 00 80 AA,3127
3.746732,02 37 0C 00 80 AA,3127
3.766494,02 37 0C 00 80 AA,3127
3.786305,02 37 0C 00 80 AA,3127
3.806160,02 37 0C 00 80 AA,3127
3.826006,02 37 0C 00 80 AA,3127
3.845727,02 37 0C 00 80 AA,3127
3.865464,02 37 0C 00 80 AA,3127
3.885254,02 37 0C 00 80 AA,3127
3.905013,02 37 0C 00 80 AA,3127
3.924742,02 37 0C 00 80 AA,3127
3.944490,02 37 0C 00 80 AA,3127
3.964187,02 37 0C 00 80 AA,3127
3.983975,02 37 0C 00 80 AA,3127
4.003646,02 37 0C 00 80 AA,3127
4.023661,02 37 0C 00 80 AA,3127
4.043692,02 37 0C 00 80 AA,3127
4.063679,02 38 0C 00 80 AA,3128
4.083601,02 39 0C 00 80 AA,3129
4.103443,02 3A 0C 00 80 AA,3130
4.123342,02 3B 0C 00 80 AA,3131
4.143250,02 3C 0C 00 80 AA,3132
4.163158,02 3E 0C 00 80 AA,3134
4.182979,02 40 0C 00 80 AA,3136
4.202747,02 42 0C 00 80 AA,3138
4.222443,02 44 0C 00 80 AA,3140
4.242202,02 46 0C 00 80 AA,3142
4.262005,02 48 0C 00 80 AA,3144
4.281811,02 4A 0C 00 80 AA,3146
4.301524,02 4C 0C 00 80 AA,3148
4.321268,02 4E 0C 00 80 AA,3150
4.341058,02 4F 0C 00 80 AA,3151
4.360763,02 50 0C 00 80 AA,3152
4.380433,02 51 0C 00 80 AA,3153
4.400115,02 52 0C 00 80 AA,3154
4.420094,02 53 0C 00 80 AA,3155
4.440022,02 54 0C 00 80 AA,3156
4.459907,02 55 0C 00 80 AA,3157
4.479813,02 56 0C 00 80 AA,3158
4.499776,02 58 0C 00 80 AA,3160
4.519729,02 5A 0C 00 80 AA,3162
4.539589,02 5C 0C 00 80 AA,3164
4.559318,02 5E 0C 00 80 AA,3166
4.579031,02 60 0C 00 80 AA,3168
4.598720,02 62 0C 00 80 AA,3170
4.618503,02 64 0C 00 80 AA,3172
4.638259,02 66 0C 00 80 AA,3174
4.657933,02 67 0C 00 80 AA,3175
4.677662,02 68 0C 00 80 AA,3176
4.697503,02 69 0C 00 80 AA,3177
